# time, NonControlledInfectedClasses, ControlledInfectedClasses
0.000000000000000000e+00,2.878000000000000000e+03,2.878000000000000000e+03
1.002785515320334220e+00,3.064149654047259446e+03,3.035290577427405879e+03
2.005571030640668440e+00,3.230505272836224776e+03,3.130614317527855746e+03
3.008356545961002659e+00,3.377688231501989321e+03,3.182436913019592794e+03
4.011142061281336879e+00,3.506727295082415367e+03,3.203895042446017669e+03
5.013927576601671099e+00,3.618876985728147702e+03,3.204226684868478515e+03
6.016713091922005319e+00,3.715495961249177526e+03,3.189884771951055882e+03
7.019498607242339538e+00,3.797966768596868860e+03,3.165362916468595358e+03
8.022284122562673758e+00,3.867644077372031916e+03,3.133789623633471820e+03
9.025069637883007090e+00,3.925822463025960133e+03,3.097347700881510718e+03
1.002785515320334220e+01,3.973717549930978748e+03,3.057566600379620468e+03
1.103064066852367731e+01,4.012456221181284491e+03,3.015524537502594285e+03
1.203342618384401064e+01,4.043072916465824164e+03,2.971987515529475331e+03
1.303621169916434397e+01,4.066509951725603969e+03,2.927504706442270617e+03
1.403899721448467908e+01,4.083620428612672185e+03,2.882473853303342821e+03
1.504178272980501418e+01,4.095172743508876920e+03,2.837186163268288510e+03
1.604456824512534752e+01,4.101856014027303900e+03,2.791857206531587508e+03
1.704735376044568085e+01,4.104285956247880677e+03,2.746648275699968508e+03
1.805013927576601418e+01,4.103010896604530899e+03,2.701681238555021082e+03
1.905292479108635106e+01,4.098517707858321955e+03,2.657048944591771942e+03
2.005571030640668440e+01,4.091237532499950248e+03,2.612822583627109907e+03
2.105849582172701773e+01,4.081551208642002621e+03,2.569056945562092551e+03
2.206128133704735461e+01,4.069794349551669711e+03,2.525794226248573978e+03
2.306406685236768794e+01,4.056262053027924594e+03,2.483066818718998093e+03
2.406685236768802127e+01,4.041213234063866366e+03,2.440899389946716838e+03
2.506963788300835461e+01,4.024874585921954804e+03,2.399310449183826677e+03
2.607242339832868794e+01,4.007444182490291496e+03,2.358313550136900631e+03
2.707520891364902482e+01,3.989094739719843346e+03,2.317918225908058503e+03
2.807799442896935815e+01,3.969976556877474195e+03,2.278130726092234909e+03
2.908077994428969149e+01,3.950220159869486451e+03,2.238954605200053265e+03
3.008356545961002837e+01,3.929938669413862954e+03,2.200391197654371354e+03
3.108635097493036170e+01,3.909229916669189151e+03,2.162440004958539703e+03
3.208913649025069503e+01,3.888178328283841893e+03,2.125099013957496027e+03
3.309192200557102836e+01,3.866856601870109444e+03,2.088364960319380316e+03
3.409470752089136170e+01,3.845327191750581733e+03,2.052233547425949837e+03
3.509749303621169503e+01,3.823643623552878580e+03,2.016699629442981859e+03
3.610027855153202836e+01,3.801851654904765383e+03,1.981757365019735744e+03
3.710306406685236880e+01,3.779990298148850798e+03,1.947400346592766482e+03
3.810584958217270213e+01,3.758092719685600059e+03,1.913621709370923327e+03
3.910863509749303546e+01,3.736187029287006226e+03,1.880414223325016792e+03
4.011142061281336879e+01,3.714296971515497717e+03,1.847770370912600583e+03
4.111420612813370212e+01,3.692442530242818520e+03,1.815682412964519926e+03
4.211699164345403545e+01,3.670640456196991181e+03,1.784142445057221039e+03
4.311977715877436879e+01,3.648904726474409472e+03,1.753143248994809255e+03
4.412256267409470922e+01,3.627246944038841320e+03,1.722680361909658814e+03
4.512534818941504255e+01,3.605676684388249669e+03,1.692749207412808346e+03
4.612813370473537589e+01,3.584201795801380740e+03,1.663343356349862233e+03
4.713091922005570922e+01,3.562828658875756901e+03,1.634455271258092125e+03
4.813370473537604255e+01,3.541562410433303285e+03,1.606076933573955557e+03
4.913649025069637588e+01,3.520407136295228156e+03,1.578200120295555507e+03
5.013927576601670921e+01,3.499366036909816557e+03,1.550816536107738330e+03
5.114206128133704254e+01,3.478441569351209637e+03,1.523917882628538791e+03
5.214484679665737588e+01,3.457635568789907211e+03,1.497495898308997084e+03
5.314763231197771631e+01,3.436949352162550440e+03,1.471542383431422195e+03
5.415041782729804964e+01,3.416383806435703264e+03,1.446049216826610291e+03
5.515320334261838298e+01,3.395939463562155197e+03,1.421008367575936745e+03
5.615598885793871631e+01,3.375616563965254500e+03,1.396411903441604636e+03
5.715877437325904964e+01,3.355415110153739079e+03,1.372251997029688482e+03
5.816155988857938297e+01,3.335334911863501020e+03,1.348520930306254286e+03
5.916434540389971630e+01,3.315375623940873083e+03,1.325211097872889468e+03
6.016713091922005674e+01,3.295536778021907594e+03,1.302315009281441235e+03
6.116991643454039007e+01,3.275817808921349297e+03,1.279825290588906228e+03
6.217270194986072340e+01,3.256218076521517560e+03,1.257734685301925083e+03
6.317548746518105673e+01,3.236736883843167561e+03,1.236036054825486644e+03
6.417827298050139007e+01,3.217373491885886324e+03,1.214722378506972063e+03
6.518105849582173050e+01,3.198127131743109658e+03,1.193786753347495505e+03
6.618384401114205673e+01,3.178997014425044199e+03,1.173222393432967692e+03
6.718662952646239717e+01,3.159982338760350103e+03,1.153022629145430528e+03
6.818941504178272339e+01,3.141082297693315468e+03,1.133180906186599941e+03
6.919220055710306383e+01,3.122296083246333637e+03,1.113690784445606596e+03
7.019498607242339006e+01,3.103622890377009753e+03,1.094545936744006212e+03
7.119777158774373049e+01,3.085061919924244194e+03,1.075740147480195674e+03
7.220055710306405672e+01,3.066612380807579484e+03,1.057267311192741772e+03
7.320334261838439716e+01,3.048273491618234402e+03,1.039121431059789757e+03
7.420612813370473759e+01,3.030044481718124189e+03,1.021296617349015605e+03
7.520891364902506382e+01,3.011924591944204167e+03,1.003787085830283786e+03
7.621169916434540426e+01,2.993913074999317359e+03,9.865871561612779033e+02
7.721448467966573048e+01,2.976009195596970585e+03,9.696912502547512531e+02
7.821727019498607092e+01,2.958212230415785598e+03,9.530938906346259500e+02
7.922005571030639715e+01,2.940521467909469266e+03,9.367896987868820133e+02
8.022284122562673758e+01,2.922936208009813527e+03,9.207733935101409770e+02
8.122562674094707802e+01,2.905455761753197748e+03,9.050397892709163443e+02
8.222841225626740425e+01,2.888079450855166669e+03,8.895837945732698699e+02
8.323119777158774468e+01,2.870806607252735375e+03,8.744004104284097139e+02
8.423398328690807091e+01,2.853636572629962757e+03,8.594847289265371728e+02
8.523676880222841135e+01,2.836568697938937476e+03,8.448319313046880552e+02
8.623955431754873757e+01,2.819602342925496487e+03,8.304372863003526390e+02
8.724233983286907801e+01,2.802736875666712876e+03,8.162961486435503957e+02
8.824512534818941845e+01,2.785971672125288023e+03,8.024039575571348450e+02
8.924791086350974467e+01,2.769306115724466508e+03,7.887562352623557445e+02
9.025069637883008511e+01,2.752739596945873018e+03,7.753485854970615492e+02
9.125348189415041134e+01,2.736271512951676414e+03,7.621766920514384083e+02
9.225626740947075177e+01,2.719901267231733982e+03,7.492363173238153422e+02
9.325905292479107800e+01,2.703628269275765888e+03,7.365233008978358384e+02
9.426183844011141844e+01,2.687451934270145102e+03,7.240335581417128878e+02
9.526462395543174466e+01,2.671371682818567024e+03,7.117630788299778715e+02
9.626740947075208510e+01,2.655386940685593345e+03,6.997079257879350962e+02
9.727019498607242554e+01,2.639497138561920110e+03,6.878642335588978085e+02
9.827298050139275176e+01,2.623701711850088031e+03,6.762282070941753318e+02
9.927576601671309220e+01,2.608000100469313566e+03,6.647961204657050303e+02
1.002785515320334184e+02,2.592391748678079239e+03,6.535643156011635710e+02
1.012813370473537589e+02,2.576876104913145809e+03,6.425292010413534172e+02
1.022841225626740851e+02,2.561452621643662496e+03,6.316872507196253537e+02
1.032869080779944255e+02,2.546120755239110622e+03,6.210350027630740897e+02
1.042896935933147518e+02,2.530879965849865584e+03,6.105690583152295403e+02
1.052924791086350922e+02,2.515729717299230288e+03,6.002860803799478617e+02
1.062952646239554326e+02,2.500669476985862730e+03,5.901827926861997184e+02
1.072980501392757589e+02,2.485698715795593216e+03,5.802559785734431443e+02
