# time, Quarantine, Isolation
0.000000000000000000e+00,5.000209293874127159e-01,5.000209293874127159e-01
1.002785515320334220e+00,5.000209293874127159e-01,5.000209293874127159e-01
2.005571030640668440e+00,5.000209293874127159e-01,5.000209293874127159e-01
3.008356545961002659e+00,5.000209293874127159e-01,5.000209293874127159e-01
4.011142061281336879e+00,5.000209293874127159e-01,5.000172415838276541e-01
5.013927576601671099e+00,5.000200895953696989e-01,5.000128488337600707e-01
6.016713091922005319e+00,5.000194690063839431e-01,5.000094011039966091e-01
7.019498607242339538e+00,5.000193677086236521e-01,5.000057181891895963e-01
8.022284122562673758e+00,5.000194201539210903e-01,5.000026363311779187e-01
9.025069637883007090e+00,5.000195028106756423e-01,5.000010219239353626e-01
1.002785515320334220e+01,5.000195759568555331e-01,4.999994827686321530e-01
1.103064066852367731e+01,5.000196286908262788e-01,4.999978600135249751e-01
1.203342618384401064e+01,5.000196597906620966e-01,4.999969813797358054e-01
1.303621169916434397e+01,5.000196710670777867e-01,4.999965146692844087e-01
1.403899721448467908e+01,5.000196650801467246e-01,4.999962669838066143e-01
1.504178272980501418e+01,5.000196443802221724e-01,4.999961274825868163e-01
1.604456824512534752e+01,5.000196112787800296e-01,4.999960335868489647e-01
1.704735376044568085e+01,5.000195678006414957e-01,4.999959509355363929e-01
1.805013927576601418e+01,5.000195156955795639e-01,4.999958615163679898e-01
1.905292479108635106e+01,5.000194564669125930e-01,4.999957566681878518e-01
2.005571030640668440e+01,5.000193914026679343e-01,4.999956329791025444e-01
2.105849582172701773e+01,5.000193216046963096e-01,4.999954898992309271e-01
2.206128133704735461e+01,5.000192480145168039e-01,4.999953283641841439e-01
2.306406685236768794e+01,5.000191714358201978e-01,4.999951500115396019e-01
2.406685236768802127e+01,5.000190925539064191e-01,4.999949567433729092e-01
2.506963788300835461e+01,5.000190119524261512e-01,4.999947504894114436e-01
2.607242339832868794e+01,5.000189301277753184e-01,4.999945330854518311e-01
2.707520891364902482e+01,5.000188475014696321e-01,4.999943062171426922e-01
2.807799442896935815e+01,5.000187644307770851e-01,4.999940714001023245e-01
2.908077994428969149e+01,5.000186812178540885e-01,4.999938299796021779e-01
3.008356545961002837e+01,5.000185981175933048e-01,4.999935831402371189e-01
3.108635097493036170e+01,5.000185153443676978e-01,4.999933319202151116e-01
3.208913649025069503e+01,5.000184330778219000e-01,4.999929458660115067e-01
3.309192200557102836e+01,5.000183514678495644e-01,4.999925163439299380e-01
3.409470752089136170e+01,5.000182706388661691e-01,4.999920816386304034e-01
3.509749303621169503e+01,5.000181906934809684e-01,4.999916427916569761e-01
3.610027855153202836e+01,5.000181117156496935e-01,4.999912007251686719e-01
3.710306406685236880e+01,5.000180337733823865e-01,4.999907562679660744e-01
3.810584958217270213e+01,5.000179569210685404e-01,4.999903101809067829e-01
3.910863509749303546e+01,5.000178812014737240e-01,4.999898631775862023e-01
4.011142061281336879e+01,5.000178066474533223e-01,4.999893920921595347e-01
4.111420612813370212e+01,5.000177332834245814e-01,4.999885168142275127e-01
4.211699164345403545e+01,5.000176611266284876e-01,4.999864892305151409e-01
4.311977715877436879e+01,5.000175901882144558e-01,4.973265167335804704e-01
4.412256267409470922e+01,5.000173696387002487e-01,4.937904781354607309e-01
4.512534818941504255e+01,5.000171479087009985e-01,4.907265960303306418e-01
4.612813370473537589e+01,5.000169289890932234e-01,4.878642153610946997e-01
4.713091922005570922e+01,5.000167129167997215e-01,4.850945769494652282e-01
4.813370473537604255e+01,5.000164997192401151e-01,4.823728396513294880e-01
4.913649025069637588e+01,5.000162894155955051e-01,4.796799378642862544e-01
5.013927576601670921e+01,5.000160820179045951e-01,4.770075048509859750e-01
5.114206128133704254e+01,5.000158775320157067e-01,4.743517803879162553e-01
5.214484679665737588e+01,5.000156759584126753e-01,4.717110718301082972e-01
5.314763231197771631e+01,5.000154772929331637e-01,4.690846527000781530e-01
5.415041782729804964e+01,5.000152815273918305e-01,4.664722616282646062e-01
5.515320334261838298e+01,5.000150886501231184e-01,4.638738627285968752e-01
5.615598885793871631e+01,5.000148986464515444e-01,4.612895256899576246e-01
5.715877437325904964e+01,5.000147114991032593e-01,4.587193637401424384e-01
5.816155988857938297e+01,5.000145271885617637e-01,4.561635010687636327e-01
5.916434540389971630e+01,5.000143456933795472e-01,4.536220559049052303e-01
6.016713091922005674e+01,5.000141669904489827e-01,4.510951321785464652e-01
6.116991643454039007e+01,5.000139910552386935e-01,4.485828159890207223e-01
6.217270194986072340e+01,5.000138178619993878e-01,4.460851747740153250e-01
6.317548746518105673e+01,5.000136473839444928e-01,4.436022576603927403e-01
6.417827298050139007e+01,5.000134795934073617e-01,4.411340941938658444e-01
6.518105849582173050e+01,5.000133144619794967e-01,4.386807043720132304e-01
6.618384401114205673e+01,5.000131519606305641e-01,4.362420885458472286e-01
6.718662952646239717e+01,5.000129920598149758e-01,4.338182358113032433e-01
6.818941504178272339e+01,5.000128347295642595e-01,4.314091267081309189e-01
6.919220055710306383e+01,5.000126799395694377e-01,4.290147308285490180e-01
7.019498607242339006e+01,5.000125276592520818e-01,4.266350096929074076e-01
7.119777158774373049e+01,5.000123778578282607e-01,4.242699178990888553e-01
7.220055710306405672e+01,5.000122305043644966e-01,4.219194040174909510e-01
7.320334261838439716e+01,5.000120855678271692e-01,4.195834114200550635e-01
7.420612813370473759e+01,5.000119430171259260e-01,4.172618790327879412e-01
7.520891364902506382e+01,5.000118028211532062e-01,4.149547420021111321e-01
7.621169916434540426e+01,5.000116649488181020e-01,4.126619322881251994e-01
7.721448467966573048e+01,5.000115293690775564e-01,4.103833792260551672e-01
7.821727019498607092e+01,5.000113960509632305e-01,4.081190101350054000e-01
7.922005571030639715e+01,5.000112649636062612e-01,4.058687510491214567e-01
8.022284122562673758e+01,5.000111360762590218e-01,4.036325272920471274e-01
8.122562674094707802e+01,5.000110093583144399e-01,4.014102616823976288e-01
8.222841225626740425e+01,5.000108847793236500e-01,3.992018604615995558e-01
8.323119777158774468e+01,5.000105823478059319e-01,3.970072217883584553e-01
8.423398328690807091e+01,5.000102791174535488e-01,3.948263274746920404e-01
8.523676880222841135e+01,5.000099793151414618e-01,3.926591008412236850e-01
8.623955431754873757e+01,5.000096829282549837e-01,3.905054459968871350e-01
8.724233983286907801e+01,5.000093899436089950e-01,3.883652712986323530e-01
8.824512534818941845e+01,5.000091003474624873e-01,3.862384897170936249e-01
8.924791086350974467e+01,5.000088141255293328e-01,3.841250166693902512e-01
9.025069637883008511e+01,5.000085312629911627e-01,3.820247687594017227e-01
9.125348189415041134e+01,5.000082517445081365e-01,3.799376632584542390e-01
9.225626740947075177e+01,5.000079755542296001e-01,3.778636179141167117e-01
9.325905292479107800e+01,5.000077026758064092e-01,3.758025508759383349e-01
9.426183844011141844e+01,5.000074330924010324e-01,3.737543806615387654e-01
9.526462395543174466e+01,5.000071667866995417e-01,3.717190261404483276e-01
9.626740947075208510e+01,5.000069037409226036e-01,3.696964065289846668e-01
9.727019498607242554e+01,5.000066439368375804e-01,3.676864413927661834e-01
9.827298050139275176e+01,5.000063873557699656e-01,3.656890506540277919e-01
9.927576601671309220e+01,5.000061339786163739e-01,3.637041546013557447e-01
1.002785515320334184e+02,5.000058837858556426e-01,3.617316739000931980e-01
1.012813370473537589e+02,5.000056367575625993e-01,3.597715296022984677e-01
1.022841225626740851e+02,5.000053928734207176e-01,3.578236431556383601e-01
1.032869080779944255e+02,5.000051521127343301e-01,3.558879364109361898e-01
1.042896935933147518e+02,5.000049144544428392e-01,3.539643316282919949e-01
1.052924791086350922e+02,5.000046798771328183e-01,3.520527514818029280e-01
1.062952646239554326e+02,5.000044483590500022e-01,3.501531190629543766e-01
1.072980501392757589e+02,5.000042198781116110e-01,3.482653578827741292e-01
1.083008356545960993e+02,5.000039944119142321e-01,3.463893918728297994e-01
1.093036211699164255e+02,5.000037719377395939e-01,3.445251453851311263e-01
1.103064066852367660e+02,5.000035524325529002e-01,3.426725431909602992e-01
1.113091922005570922e+02,5.000033358729902844e-01,3.408315104785878402e-01
1.123119777158774326e+02,5.000031222353242821e-01,3.390019728497560836e-01
1.133147632311977731e+02,5.000029114953968845e-01,3.371838563147426249e-01
1.143175487465180993e+02,5.000027036284876436e-01,3.353770872858682361e-01
1.153203342618384397e+02,5.000024986090745305e-01,3.335815925697074302e-01
1.163231197771587659e+02,5.000022964103931766e-01,3.317972993594019981e-01
1.173259052924791064e+02,5.000020970036291867e-01,3.300241352308432852e-01
1.183286908077994326e+02,5.000019003564132314e-01,3.282620281498612180e-01
1.193314763231197730e+02,5.000017064299737690e-01,3.265109064983282572e-01
1.203342618384401135e+02,5.000015151736211250e-01,3.247706991099790219e-01
1.213370473537604397e+02,5.000013265138203433e-01,3.230413352222732959e-01
1.223398328690807801e+02,5.000011403319997161e-01,3.213227439572171051e-01
1.233426183844011064e+02,5.000009564183802713e-01,3.196148520661518666e-01
1.243454038997214468e+02,5.000007743736484267e-01,3.179175991873237628e-01
1.253481894150417730e+02,5.000005997634028310e-01,3.162309132522293509e-01
1.263509749303621135e+02,5.000004340024616356e-01,3.145547194720597073e-01
